creation_date,number_of_works,total_number_of_words
5/22/2018,2256,15969015
5/23/2018,2069,17455673
5/24/2018,1965,16592290
5/25/2018,2064,17997885
5/26/2018,2360,19621733
5/27/2018,2465,20810885
5/28/2018,2969,25705845
5/29/2018,4102,30760238
5/30/2018,2823,22503607
5/31/2018,2352,19889690
6/1/2018,2339,19307518
6/2/2018,2356,19181562
6/3/2018,2639,20019929
6/4/2018,2360,21096496
6/5/2018,2279,20719577
6/6/2018,2284,18287596
6/7/2018,2157,19974469
6/8/2018,2396,20694815
6/9/2018,2367,19469506
6/10/2018,2548,21129344
6/11/2018,2387,17058461
6/12/2018,2356,19185072
6/13/2018,2196,18822525
6/14/2018,2366,19754704
6/15/2018,2243,19069858
6/16/2018,2294,22775029
6/17/2018,2583,19876254
6/18/2018,2441,19075127
6/19/2018,2538,19965140
6/20/2018,2482,20919626
6/21/2018,2260,17076458
6/22/2018,2149,16892692
6/23/2018,2202,18829579
6/24/2018,2513,19711704
6/25/2018,2498,21919817
6/26/2018,2373,21604865
6/27/2018,2324,18908581
6/28/2018,2176,21190829
6/29/2018,3236,26408457
6/30/2018,3910,28058155
7/1/2018,2770,24351347
7/2/2018,2570,18559099
7/3/2018,2483,21517669
7/4/2018,2525,18797048
7/5/2018,2378,18278053
7/6/2018,2409,18262465
7/7/2018,2275,19596685
7/8/2018,2571,20748473
7/9/2018,2231,17859824
7/10/2018,2763,20387290
7/11/2018,2342,20755778
7/12/2018,2387,19929381
7/13/2018,2281,18162431
7/14/2018,2319,22661596
7/15/2018,2823,23181327
7/16/2018,2584,19789923
7/17/2018,2362,20102419
7/18/2018,2303,19240289
7/19/2018,2477,19673097
7/20/2018,2158,18718282
7/21/2018,2405,18939529
7/22/2018,2565,20905481
7/23/2018,2619,23378310
7/24/2018,2472,18965218
7/25/2018,2414,20718017
7/26/2018,2571,19159821
7/27/2018,2250,20801981
7/28/2018,2383,18941163
7/29/2018,2623,21136298
7/30/2018,2604,23735144
7/31/2018,3607,23620119
8/1/2018,2674,21492478
8/2/2018,2525,19717514
8/3/2018,2489,19156386
8/4/2018,2366,17900639
8/5/2018,2578,20741769
8/6/2018,2454,21342425
8/7/2018,2414,19749375
8/8/2018,2313,19782799
8/9/2018,2402,19269257
8/10/2018,2266,19260931
8/11/2018,2451,19191503
8/12/2018,2784,23388559
8/13/2018,2655,22832619
8/14/2018,2420,20507746
8/15/2018,2349,23945641
8/16/2018,2392,18687202
8/17/2018,2312,18887922
8/18/2018,2317,22729465
8/19/2018,2653,24027916
8/20/2018,2511,20355807
8/21/2018,2265,21146320
8/22/2018,2294,19890856
8/23/2018,2166,16285519
8/24/2018,2252,17134109
8/25/2018,2399,19260203
8/26/2018,2628,22696844
8/27/2018,2443,22218921
8/28/2018,2254,18356700
8/29/2018,2155,20135490
8/30/2018,2129,17308283
8/31/2018,2196,18415907
9/1/2018,2394,22031608
9/2/2018,2566,22270010
9/3/2018,2753,21326152
9/4/2018,2267,20075339
9/5/2018,2202,20770486
9/6/2018,2164,19269683
9/7/2018,2125,16482529
9/8/2018,2202,18844759
9/9/2018,2591,21544533
9/10/2018,2360,18118458
9/11/2018,2036,17255307
9/12/2018,2003,16609678
9/13/2018,1905,15109537
9/14/2018,1887,16573852
9/15/2018,2295,17888919
9/16/2018,2462,20837849
9/17/2018,2302,19475329
9/18/2018,2041,17390714
9/19/2018,2142,17137574
9/20/2018,2041,15659023
9/21/2018,2131,18211687
9/22/2018,2142,14979837
9/23/2018,2417,17794306
9/24/2018,2282,19512865
9/25/2018,2086,16357467
9/26/2018,2069,15893309
9/27/2018,2044,14968483
9/28/2018,1917,16002518
9/29/2018,2340,18058996
9/30/2018,2667,22511280
10/1/2018,2962,26688789
10/2/2018,2781,22115724
10/3/2018,2591,20166789
10/4/2018,2497,18029456
10/5/2018,2354,18070031
10/6/2018,2674,19050017
10/7/2018,2746,19374833
10/8/2018,2616,22488578
10/9/2018,2358,18892052
10/10/2018,2423,17338833
10/11/2018,2273,16858080
10/12/2018,2211,17625898
10/13/2018,2215,18208523
10/14/2018,2753,20823654
10/15/2018,2430,18013057
10/16/2018,2281,16382576
10/17/2018,2211,15135061
10/18/2018,1956,15178412
10/19/2018,2023,16553263
10/20/2018,2130,16709047
10/21/2018,2568,20821486
10/22/2018,2520,19219379
10/23/2018,2403,18919056
10/24/2018,2356,19908426
10/25/2018,2293,14744794
10/26/2018,2374,17859086
10/27/2018,2473,18741019
10/28/2018,2863,23469712
10/29/2018,2578,18743677
10/30/2018,2708,20896801
10/31/2018,3317,21568080
11/1/2018,2716,19151034
11/2/2018,2272,18307906
11/3/2018,2417,18378485
11/4/2018,2593,22554010
11/5/2018,2416,20122194
11/6/2018,2170,15883462
11/7/2018,2190,16971206
11/8/2018,2101,18524358
11/9/2018,2200,15919864
11/10/2018,2330,19537875
11/11/2018,2600,19238075
11/12/2018,2565,20295112
11/13/2018,2209,17065689
11/14/2018,2244,19890213
11/15/2018,2076,17415261
11/16/2018,1976,16587161
11/17/2018,2192,16887596
11/18/2018,2678,21471338
11/19/2018,2495,20170000
11/20/2018,2676,23052391
11/21/2018,2668,18515793
11/22/2018,2422,19642569
11/23/2018,2433,19307835
11/24/2018,2496,21786975
11/25/2018,3025,26088912
11/26/2018,2780,21484814
11/27/2018,2473,18563106
11/28/2018,2377,22414444
11/29/2018,2157,16611025
11/30/2018,2316,18699358
12/1/2018,2889,29655205
12/2/2018,3304,27796275
12/3/2018,3473,24383846
12/4/2018,5091,30607737
12/5/2018,4324,31034098
