creation_date,number_of_works,total_number_of_words
10/30/2011,329,1810379
10/31/2011,309,1695635
11/1/2011,341,1669323
11/2/2011,303,1204119
11/3/2011,277,1802256
11/4/2011,366,1695782
11/5/2011,275,1160203
11/6/2011,403,1741521
11/7/2011,441,2043620
11/8/2011,348,1856393
11/9/2011,296,1667394
11/10/2011,278,1395808
11/11/2011,331,1555412
11/12/2011,502,1746090
11/13/2011,468,2891382
11/14/2011,341,1764103
11/15/2011,354,1778031
11/16/2011,456,3468793
11/17/2011,448,2304289
11/18/2011,418,1716447
11/19/2011,393,1572512
11/20/2011,518,3161316
11/21/2011,560,3063964
11/22/2011,352,2438854
11/23/2011,414,1536912
11/24/2011,259,1669592
11/25/2011,290,998019
11/26/2011,313,1530555
11/27/2011,372,1973367
11/28/2011,384,1820089
11/29/2011,420,2510993
11/30/2011,334,1652291
12/1/2011,321,1219870
12/2/2011,324,1836273
12/3/2011,483,2386908
12/4/2011,691,2214153
12/5/2011,535,2754804
12/6/2011,477,2548318
12/7/2011,392,1772836
12/8/2011,376,1536252
12/9/2011,397,1785502
12/10/2011,372,1550391
12/11/2011,421,1925817
12/12/2011,434,1948678
12/13/2011,472,2140061
12/14/2011,401,1629006
12/15/2011,389,1768972
12/16/2011,376,2201504
12/17/2011,359,1657079
12/18/2011,481,2143825
12/19/2011,450,2387348
12/20/2011,632,2415986
12/21/2011,833,3600103
12/22/2011,1459,5987640
12/23/2011,870,3416702
12/24/2011,1012,2662857
12/25/2011,803,1882166
12/26/2011,660,3691522
12/27/2011,726,3998268
12/28/2011,896,4135196
12/29/2011,838,4035336
12/30/2011,698,3856807
12/31/2011,785,3510605
1/1/2012,814,3509869
1/2/2012,771,4645087
1/3/2012,822,4454303
1/4/2012,853,3505273
1/5/2012,782,3053180
1/6/2012,525,2497459
1/7/2012,751,3252137
1/8/2012,778,3603559
1/9/2012,537,2575322
1/10/2012,542,2736542
1/11/2012,401,2619500
1/12/2012,444,1809315
1/13/2012,435,2779614
1/14/2012,714,3718754
1/15/2012,657,3095149
1/16/2012,508,2745744
1/17/2012,442,2128305
1/18/2012,395,1939698
1/19/2012,439,3373351
1/20/2012,476,2887063
1/21/2012,549,2949967
1/22/2012,553,2391393
1/23/2012,615,2400206
1/24/2012,409,1439411
1/25/2012,443,2569457
1/26/2012,481,1555752
1/27/2012,440,2749323
1/28/2012,414,1728766
1/29/2012,610,2816551
1/30/2012,569,2984813
1/31/2012,500,2223535
2/1/2012,432,2633455
2/2/2012,392,1720711
2/3/2012,377,1650241
2/4/2012,491,2335944
2/5/2012,614,2840211
2/6/2012,483,3220474
2/7/2012,556,2748902
2/8/2012,456,2511888
2/9/2012,455,2297431
2/10/2012,488,2864264
2/11/2012,545,2659065
2/12/2012,813,4251011
2/13/2012,717,3234913
2/14/2012,591,2708390
2/15/2012,599,3559979
2/16/2012,485,2353690
2/17/2012,492,2342867
2/18/2012,530,2830030
2/19/2012,460,2389217
2/20/2012,556,2378458
2/21/2012,424,2079749
2/22/2012,422,1448787
2/23/2012,436,2348939
2/24/2012,478,2307329
2/25/2012,367,2008664
2/26/2012,447,1863838
2/27/2012,528,2501274
2/28/2012,388,2347015
2/29/2012,432,2245485
3/1/2012,467,2013014
3/2/2012,458,3205551
3/3/2012,542,2146986
3/4/2012,726,2106507
3/5/2012,4752,23539417
3/6/2012,435,2541693
3/7/2012,438,2268088
3/8/2012,445,1790372
3/9/2012,431,2473757
3/10/2012,501,2126807
3/11/2012,527,2147775
3/12/2012,496,2099615
3/13/2012,430,1892009
3/14/2012,404,1933512
3/15/2012,412,2575423
3/16/2012,500,2278251
3/17/2012,443,1758656
3/18/2012,641,3126970
3/19/2012,607,3304422
3/20/2012,481,2691817
3/21/2012,526,2505526
3/22/2012,444,2908980
3/23/2012,479,3414065
3/24/2012,409,2280730
3/25/2012,500,2725429
3/26/2012,356,2043486
3/27/2012,414,2156471
3/28/2012,400,2283243
3/29/2012,649,4921942
3/30/2012,535,2491390
3/31/2012,554,2992819
4/1/2012,554,3019821
4/2/2012,564,2813567
4/3/2012,488,2514960
4/4/2012,514,2436720
4/5/2012,512,2706736
4/6/2012,582,2990425
4/7/2012,652,4085031
4/8/2012,643,2333772
4/9/2012,641,3294637
4/10/2012,524,1970498
4/11/2012,649,3076163
4/12/2012,506,2902022
4/13/2012,633,3256373
4/14/2012,476,3384882
4/15/2012,709,2950505
4/16/2012,572,4664754
4/17/2012,476,2138321
4/18/2012,493,2459155
4/19/2012,521,3118384
4/20/2012,747,3073777
4/21/2012,590,2554490
4/22/2012,668,3113512
4/23/2012,621,3068171
4/24/2012,560,2303715
4/25/2012,494,3109590
4/26/2012,528,3311570
4/27/2012,544,3030559
4/28/2012,581,2907993
4/29/2012,559,2476675
4/30/2012,685,2883432
5/1/2012,558,2241766
5/2/2012,521,2172104
5/3/2012,484,2006699
5/4/2012,470,2893754
5/5/2012,531,2147146
5/6/2012,559,2722205
5/7/2012,547,2711889
5/8/2012,540,2611904
5/9/2012,593,2490791
5/10/2012,495,1948692
5/11/2012,487,2374718
5/12/2012,625,3016775
5/13/2012,721,2964520
5/14/2012,619,3355901
5/15/2012,584,2753653
5/16/2012,464,2951328
5/17/2012,425,2457848
5/18/2012,489,2914380
5/19/2012,535,2622502
5/20/2012,629,2526104
5/21/2012,635,2421059
5/22/2012,519,2285377
5/23/2012,565,3122145
5/24/2012,523,2423632
5/25/2012,553,2499043
5/26/2012,467,2240673
5/27/2012,630,3033124
5/28/2012,657,3215437
5/29/2012,541,3522185
5/30/2012,895,4682567
5/31/2012,1058,5484464
6/1/2012,944,7369892
6/2/2012,1111,8422125
6/3/2012,750,4659004
6/4/2012,950,7540620
6/5/2012,1126,10206704
6/6/2012,872,8739578
6/7/2012,1116,10585748
6/8/2012,927,9898460
6/9/2012,721,6887787
6/10/2012,639,3652794
6/11/2012,519,3672734
6/12/2012,844,6463017
6/13/2012,636,4565166
6/14/2012,791,5173771
6/15/2012,685,4365676
6/16/2012,622,3664290
6/17/2012,816,4179556
6/18/2012,651,4452978
6/19/2012,715,3491954
6/20/2012,641,4820589
6/21/2012,632,4073958
6/22/2012,688,5745336
6/23/2012,572,3871882
6/24/2012,746,4954116
6/25/2012,738,5716373
6/26/2012,804,4889500
6/27/2012,696,4338264
6/28/2012,616,5015993
6/29/2012,492,3306933
6/30/2012,693,4221937
7/1/2012,652,3522546
7/2/2012,785,3519320
7/3/2012,603,4057166
7/4/2012,615,3643284
7/5/2012,714,3996046
7/6/2012,569,3971015
7/7/2012,665,4424704
7/8/2012,671,5542571
7/9/2012,617,3764458
7/10/2012,583,2908709
7/11/2012,670,5120916
7/12/2012,595,3278763
7/13/2012,526,2930831
7/14/2012,627,3268471
7/15/2012,742,3922559
7/16/2012,624,3266310
7/17/2012,745,4331597
7/18/2012,621,3593112
7/19/2012,551,2778132
7/20/2012,598,3280796
7/21/2012,602,3971406
7/22/2012,685,4554381
7/23/2012,656,4536282
7/24/2012,714,4015666
7/25/2012,706,3435125
7/26/2012,680,5148526
7/27/2012,642,4198466
7/28/2012,644,3502256
7/29/2012,726,3320914
7/30/2012,648,4119726
7/31/2012,576,3902277
8/1/2012,735,4432386
8/2/2012,748,4275080
8/3/2012,639,5050235
8/4/2012,699,4633590
8/5/2012,708,4086549
8/6/2012,724,4896895
8/7/2012,712,4132784
8/8/2012,641,3499957
8/9/2012,527,2922281
8/10/2012,650,3857369
8/11/2012,722,5207272
8/12/2012,690,3881197
8/13/2012,666,4715973
8/14/2012,743,5352735
8/15/2012,603,5328202
8/16/2012,587,5392535
8/17/2012,613,4914631
8/18/2012,583,4314230
8/19/2012,713,4483500
8/20/2012,562,3570264
8/21/2012,637,3884372
8/22/2012,556,4158915
8/23/2012,579,4362741
8/24/2012,620,4466293
8/25/2012,685,5362476
8/26/2012,642,3998203
8/27/2012,695,5215131
8/28/2012,580,4805354
8/29/2012,530,2976531
8/30/2012,599,3381715
8/31/2012,571,3345373
9/1/2012,716,4178990
9/2/2012,700,5488583
9/3/2012,715,5350601
9/4/2012,731,7235570
9/5/2012,619,3807383
9/6/2012,596,3757994
9/7/2012,614,3100477
9/8/2012,626,3722559
9/9/2012,694,4547636
9/10/2012,770,3757911
9/11/2012,628,3516785
9/12/2012,541,3137521
9/13/2012,586,3754194
9/14/2012,588,3906327
9/15/2012,803,3943618
9/16/2012,744,3571594
9/17/2012,705,4673594
9/18/2012,788,3643174
9/19/2012,699,4295990
9/20/2012,590,4268379
9/21/2012,700,4685187
9/22/2012,622,3877234
9/23/2012,733,4904347
9/24/2012,747,4826491
9/25/2012,597,2859704
9/26/2012,637,3706135
9/27/2012,512,3102162
9/28/2012,548,3073851
9/29/2012,679,4108510
9/30/2012,839,4016707
10/1/2012,621,3196006
10/2/2012,594,3407223
10/3/2012,691,4250825
10/4/2012,676,3560508
10/5/2012,574,3346222
10/6/2012,631,3362086
10/7/2012,753,3404801
10/8/2012,817,4262953
10/9/2012,600,4156111
10/10/2012,639,3119033
10/11/2012,547,2927805
10/12/2012,633,3451497
10/13/2012,675,4944373
10/14/2012,674,3186505
10/15/2012,686,3868743
10/16/2012,730,3858146
10/17/2012,540,3135787
10/18/2012,477,3660603
10/19/2012,492,3149581
10/20/2012,773,3426329
10/21/2012,687,3101678
10/22/2012,640,5255425
10/23/2012,556,2661484
10/24/2012,630,3819961
10/25/2012,569,2871127
10/26/2012,577,2669161
10/27/2012,693,3490139
10/28/2012,760,4559686
10/29/2012,701,4571030
10/30/2012,686,3554841
10/31/2012,759,4196826
11/1/2012,688,3838553
11/2/2012,605,3455021
11/3/2012,707,3777254
11/4/2012,666,3509658
11/5/2012,666,3008037
11/6/2012,628,3507470
11/7/2012,561,2569119
11/8/2012,535,2923064
11/9/2012,612,3541129
11/10/2012,545,3150026
11/11/2012,730,4670810
11/12/2012,824,4939321
11/13/2012,576,4178821
11/14/2012,674,5188824
11/15/2012,633,4382552
11/16/2012,635,4282197
11/17/2012,727,3946941
11/18/2012,868,5119185
11/19/2012,745,4372994
11/20/2012,635,3697594
11/21/2012,680,4164280
11/22/2012,625,3640856
11/23/2012,576,4746762
11/24/2012,860,4578222
11/25/2012,1077,5207330
11/26/2012,760,5237497
11/27/2012,623,4647241
11/28/2012,720,3802738
11/29/2012,706,4120982
11/30/2012,689,5031958
12/1/2012,845,5526607
12/2/2012,921,5435082
12/3/2012,912,5187348
12/4/2012,906,4717604
12/5/2012,864,5032101
12/6/2012,799,4677459
12/7/2012,667,3630000
12/8/2012,731,3901027
12/9/2012,862,4883010
12/10/2012,856,4881190
12/11/2012,690,4187509
12/12/2012,730,3436039
12/13/2012,775,4776222
12/14/2012,681,3617818
12/15/2012,728,4647271
12/16/2012,864,5041623
12/17/2012,825,4949273
12/18/2012,944,4551339
12/19/2012,1161,6183536
12/20/2012,1804,8708161
12/21/2012,1359,6885292
12/22/2012,997,5385561
12/23/2012,1175,5586640
12/24/2012,1302,5130315
12/25/2012,1107,4554394
12/26/2012,1120,5115405
12/27/2012,1141,6855960
12/28/2012,1111,6240126
12/29/2012,1065,6767743
12/30/2012,1164,6858763
12/31/2012,1183,6479415
1/1/2013,1365,6961746
1/2/2013,1303,8220809
1/3/2013,1161,6955950
1/4/2013,1158,6683928
1/5/2013,1406,8150298
1/6/2013,1419,8344541
1/7/2013,1208,7433976
1/8/2013,1078,5787772
1/9/2013,1005,6839128
1/10/2013,1104,6849009
1/11/2013,894,5510550
1/12/2013,1087,6798071
1/13/2013,1295,8009789
1/14/2013,1220,7242912
1/15/2013,1001,7242082
1/16/2013,937,6427108
1/17/2013,876,5061921
1/18/2013,1005,6003274
1/19/2013,1135,6063344
1/20/2013,1309,7997719
1/21/2013,1135,7734325
1/22/2013,1073,7086740
1/23/2013,1119,7213425
1/24/2013,1012,6923515
1/25/2013,1036,6115322
1/26/2013,1131,7556919
1/27/2013,1397,10644417
1/28/2013,1277,7483450
1/29/2013,1104,8043158
1/30/2013,1216,6626639
1/31/2013,1190,6862897
2/1/2013,1013,5499145
2/2/2013,1323,7505010
2/3/2013,1425,8458117
2/4/2013,1041,6259799
2/5/2013,1087,6843600
2/6/2013,1029,6502356
2/7/2013,900,5324921
2/8/2013,855,5739688
2/9/2013,1175,6790041
2/10/2013,1158,8292001
2/11/2013,961,6011101
2/12/2013,939,5658949
2/13/2013,904,5789407
2/14/2013,1147,5743528
2/15/2013,1027,5123182
2/16/2013,1119,8581407
2/17/2013,1075,6408651
2/18/2013,1157,9018399
2/19/2013,974,6510423
2/20/2013,934,5455026
2/21/2013,998,5248318
2/22/2013,946,6584186
2/23/2013,1022,7070244
2/24/2013,1251,9184531
2/25/2013,979,5846026
2/26/2013,918,6113031
2/27/2013,919,5836173
2/28/2013,876,5005427
3/1/2013,809,4726063
3/2/2013,890,6334604
3/3/2013,1205,7444015
3/4/2013,894,5834741
3/5/2013,834,5592059
3/6/2013,901,5269380
3/7/2013,863,5970388
3/8/2013,787,5209248
3/9/2013,929,6234416
3/10/2013,1082,6714933
3/11/2013,1113,6649482
3/12/2013,873,7720031
3/13/2013,897,5142369
3/14/2013,943,5292399
3/15/2013,857,5838876
3/16/2013,926,6097264
3/17/2013,1310,6835781
3/18/2013,970,6529576
3/19/2013,894,5873205
3/20/2013,810,5041540
3/21/2013,1021,6939062
3/22/2013,863,6042319
3/23/2013,1003,5969190
3/24/2013,1154,6331745
3/25/2013,1084,6576357
3/26/2013,975,5298600
3/27/2013,856,6633793
3/28/2013,844,4601623
3/29/2013,1020,5899125
3/30/2013,961,6819302
3/31/2013,928,5990782
4/1/2013,959,5572480
4/2/2013,955,5883951
4/3/2013,882,5818850
4/4/2013,822,5352438
4/5/2013,963,6337720
4/6/2013,967,6634381
4/7/2013,1150,6861043
4/8/2013,987,6482234
4/9/2013,955,6889385
4/10/2013,816,6138902
4/11/2013,901,5087391
4/12/2013,893,5001557
4/13/2013,915,8000353
4/14/2013,1160,7426867
4/15/2013,862,5101400
4/16/2013,809,5173328
4/17/2013,792,5368531
4/18/2013,808,4350530
4/19/2013,704,4923974
4/20/2013,861,5031364
4/21/2013,919,4876952
4/22/2013,892,5522988
4/23/2013,858,4291201
4/24/2013,887,5228248
4/25/2013,776,4238036
4/26/2013,751,5532791
4/27/2013,923,5328602
4/28/2013,1054,6155796
4/29/2013,855,5656428
4/30/2013,786,6464855
5/1/2013,947,5230951
5/2/2013,815,5433284
5/3/2013,852,5056200
5/4/2013,949,6412120
5/5/2013,994,5680789
5/6/2013,860,5492196
5/7/2013,892,6108543
5/8/2013,895,6851549
5/9/2013,851,5942729
5/10/2013,6233,38294327
5/11/2013,975,6872013
5/12/2013,1137,7071801
5/13/2013,849,4767533
5/14/2013,965,7309253
5/15/2013,937,5700129
5/16/2013,805,4830159
5/17/2013,824,5888799
5/18/2013,887,6999807
5/19/2013,955,6034556
5/20/2013,996,6934137
5/21/2013,963,5707458
5/22/2013,924,7126350
5/23/2013,1014,6334764
5/24/2013,920,6791770
5/25/2013,858,5113429
5/26/2013,966,5712337
5/27/2013,1088,6069670
5/28/2013,932,5353810
5/29/2013,848,5784782
5/30/2013,990,6135731
5/31/2013,910,5935994
6/1/2013,962,5594907
6/2/2013,976,6316151
6/3/2013,958,5696903
6/4/2013,948,6988661
6/5/2013,790,5941035
6/6/2013,851,5640907
6/7/2013,930,5158583
6/8/2013,915,5775568
6/9/2013,1010,5879095
6/10/2013,975,6899316
6/11/2013,1057,6479868
6/12/2013,941,8673162
6/13/2013,888,5680209
6/14/2013,866,4951974
6/15/2013,891,5475641
6/16/2013,1057,7010085
6/17/2013,1000,6237418
6/18/2013,920,5904059
6/19/2013,937,5877994
6/20/2013,949,6314076
6/21/2013,860,5811734
6/22/2013,957,6912634
6/23/2013,1124,8750822
6/24/2013,1152,7351607
6/25/2013,940,5065668
6/26/2013,901,4621370
6/27/2013,830,5476776
6/28/2013,864,5793249
6/29/2013,868,6049376
6/30/2013,1023,7059697
7/1/2013,959,6476555
7/2/2013,976,5701818
7/3/2013,1017,6388341
7/4/2013,895,7421669
7/5/2013,905,5800181
7/6/2013,961,5202603
7/7/2013,1093,6766226
7/8/2013,1049,6304282
7/9/2013,1039,6547214
7/10/2013,1002,6533284
7/11/2013,943,7756401
7/12/2013,922,5854332
7/13/2013,793,5254567
7/14/2013,935,6103506
7/15/2013,943,6181677
7/16/2013,936,6890776
7/17/2013,1003,6681189
7/18/2013,969,5897094
7/19/2013,944,5986543
7/20/2013,965,5013522
7/21/2013,939,6688908
7/22/2013,1007,5567634
7/23/2013,1071,8232339
7/24/2013,922,8385030
7/25/2013,923,5387288
7/26/2013,958,6017867
7/27/2013,894,6073168
7/28/2013,1159,7757478
7/29/2013,1143,8790366
7/30/2013,1038,6773314
7/31/2013,987,5157079
8/1/2013,971,5805838
8/2/2013,928,6569793
8/3/2013,1004,6297281
8/4/2013,1032,7466059
8/5/2013,1011,5597933
8/6/2013,895,7205720
8/7/2013,873,5063689
8/8/2013,976,4830072
8/9/2013,1015,6368678
8/10/2013,986,5258436
8/11/2013,1065,6981827
8/12/2013,1128,6996354
8/13/2013,1014,6678154
8/14/2013,1014,6254499
8/15/2013,968,6598450
8/16/2013,1049,6676222
8/17/2013,1039,5923750
8/18/2013,1043,6606314
8/19/2013,1017,8648869
8/20/2013,1046,6561474
8/21/2013,926,5045424
8/22/2013,833,5942180
8/23/2013,956,6346232
8/24/2013,938,7777629
8/25/2013,1126,8246442
8/26/2013,890,6072268
8/27/2013,892,7603796
8/28/2013,880,4962624
8/29/2013,852,6991859
8/30/2013,922,6598177
8/31/2013,865,7015403
9/1/2013,924,7179025
9/2/2013,1059,6894341
9/3/2013,944,6784755
9/4/2013,870,5920015
9/5/2013,917,5285443
9/6/2013,898,6239476
9/7/2013,823,5144576
9/8/2013,959,6507075
9/9/2013,1061,7410282
9/10/2013,799,6317382
9/11/2013,833,5705413
9/12/2013,685,5014084
9/13/2013,799,5207881
9/14/2013,861,6933916
9/15/2013,980,7251034
9/16/2013,876,5620810
9/17/2013,848,5639314
9/18/2013,772,4394519
9/19/2013,871,5856719
9/20/2013,785,4955382
9/21/2013,963,5809023
9/22/2013,1019,5372004
9/23/2013,950,7090156
9/24/2013,746,6295268
9/25/2013,799,4871066
9/26/2013,791,4835676
9/27/2013,768,4810158
9/28/2013,822,5951718
9/29/2013,987,6330727
9/30/2013,812,5824320
10/1/2013,819,6006054
10/2/2013,763,5266933
10/3/2013,795,5841379
10/4/2013,896,7182461
10/5/2013,871,8106239
10/6/2013,985,10213447
10/7/2013,1191,8286445
10/8/2013,925,6179033
10/9/2013,806,6033589
10/10/2013,847,5701060
10/11/2013,831,5328396
10/12/2013,989,7273259
10/13/2013,936,6733867
10/14/2013,974,6825693
10/15/2013,792,5395595
10/16/2013,858,6029080
10/17/2013,814,6438247
10/18/2013,847,6099315
10/19/2013,858,4815624
10/20/2013,1043,7008739
10/21/2013,899,7216893
10/22/2013,888,6613157
10/23/2013,978,6522748
10/24/2013,894,5275990
10/25/2013,807,6303980
10/26/2013,916,6242955
10/27/2013,1129,6577535
10/28/2013,1028,7074500
10/29/2013,927,6383702
10/30/2013,972,7275371
10/31/2013,994,7025427
11/1/2013,942,6061295
11/2/2013,956,6190383
11/3/2013,1035,7783693
11/4/2013,1127,7613491
11/5/2013,862,6297818
11/6/2013,878,5488280
11/7/2013,877,6062247
11/8/2013,883,6307827
11/9/2013,898,6476043
11/10/2013,1090,8809887
11/11/2013,1012,7090397
11/12/2013,994,6323544
11/13/2013,855,5610089
11/14/2013,892,5602551
11/15/2013,890,7214424
11/16/2013,890,5240534
11/17/2013,1145,7482189
11/18/2013,967,6903356
11/19/2013,820,6229418
11/20/2013,810,6028516
11/21/2013,911,6505716
11/22/2013,779,4168297
11/23/2013,761,4632024
11/24/2013,968,6026792
11/25/2013,884,5454982
11/26/2013,797,4998001
11/27/2013,782,4882001
11/28/2013,762,5062745
11/29/2013,770,4364248
11/30/2013,797,6040723
12/1/2013,1180,8026053
12/2/2013,836,6236451
12/3/2013,908,5081321
12/4/2013,961,6063503
12/5/2013,882,5174752
12/6/2013,862,5273841
12/7/2013,849,5993853
12/8/2013,1046,7220932
12/9/2013,979,7370432
12/10/2013,889,7399956
12/11/2013,859,4566529
12/12/2013,808,5692104
12/13/2013,794,4807494
12/14/2013,845,4495316
12/15/2013,1059,8101836
12/16/2013,1114,7450166
12/17/2013,1048,7385852
12/18/2013,1046,5280541
12/19/2013,902,5692041
12/20/2013,1117,5780084
12/21/2013,1169,7150324
12/22/2013,1805,9278111
12/23/2013,1797,8862255
12/24/2013,1643,8075615
12/25/2013,1514,8855280
12/26/2013,1210,6550390
12/27/2013,1207,8123361
12/28/2013,1161,7126523
12/29/2013,1314,12308410
12/30/2013,1299,7693094
12/31/2013,1337,7387846
1/1/2014,1184,12373362
1/2/2014,1247,9266339
1/3/2014,1254,11651839
1/4/2014,1281,8235332
1/5/2014,1450,9497451
1/6/2014,1273,8927804
1/7/2014,1298,8932835
1/8/2014,1039,7114283
1/9/2014,923,6761741
1/10/2014,1135,8003198
1/11/2014,1234,8092701
1/12/2014,1259,10009513
1/13/2014,1144,6062832
1/14/2014,1085,6198911
1/15/2014,1021,9284163
1/16/2014,1006,6008454
1/17/2014,946,6657197
1/18/2014,1078,7173338
1/19/2014,1224,9915197
1/20/2014,1168,7930064
1/21/2014,1096,7858367
1/22/2014,992,7307145
1/23/2014,1023,6380716
1/24/2014,1021,6955644
1/25/2014,1224,8537679
1/26/2014,1398,8645607
1/27/2014,1068,7671235
1/28/2014,1077,7575658
1/29/2014,1053,6688627
1/30/2014,953,5923392
1/31/2014,1049,7602383
2/1/2014,1026,7024216
2/2/2014,1310,8974673
2/3/2014,1082,8409556
2/4/2014,987,6801039
2/5/2014,1119,7416987
2/6/2014,1009,8107186
2/7/2014,1042,7242156
2/8/2014,1002,7319574
2/9/2014,1272,9043532
2/10/2014,1060,6815973
2/11/2014,1173,7231494
2/12/2014,1233,7399727
2/13/2014,1185,7948417
2/14/2014,1370,7992093
2/15/2014,1618,9178330
2/16/2014,1490,9205120
2/17/2014,1252,8428481
2/18/2014,1152,6904221
2/19/2014,1006,6529107
2/20/2014,974,7551379
2/21/2014,1019,7318730
2/22/2014,1109,7844079
2/23/2014,1208,10220502
2/24/2014,1071,7114801
2/25/2014,1053,7183175
2/26/2014,990,6126704
2/27/2014,1041,9170346
2/28/2014,948,6325712
3/1/2014,1099,8268320
3/2/2014,1287,7636449
3/3/2014,1123,8030222
3/4/2014,969,6122205
3/5/2014,960,7447302
3/6/2014,978,6683832
3/7/2014,1032,8621939
3/8/2014,959,6705698
3/9/2014,1291,8874287
3/10/2014,1055,6947032
3/11/2014,1002,6310602
3/12/2014,1016,6312444
3/13/2014,988,4861169
3/14/2014,1045,6994530
3/15/2014,1155,6944401
3/16/2014,1321,9363711
3/17/2014,1127,8368171
3/18/2014,1099,7148592
3/19/2014,1029,5850932
3/20/2014,1043,6739346
3/21/2014,1020,5795009
3/22/2014,1237,8912355
3/23/2014,1318,8499362
3/24/2014,1134,6915632
3/25/2014,1134,7730073
3/26/2014,1027,7616915
3/27/2014,1077,7054074
3/28/2014,1092,7588719
3/29/2014,1080,6584594
3/30/2014,1288,8177382
3/31/2014,1140,6715977
4/1/2014,1015,6499023
4/2/2014,1059,7688093
4/3/2014,1065,7375058
4/4/2014,1026,7745875
4/5/2014,1086,6319228
4/6/2014,1368,8941630
4/7/2014,1151,5672676
4/8/2014,1142,6758150
4/9/2014,1101,6518536
4/10/2014,976,5549777
4/11/2014,995,6098125
4/12/2014,1050,7692558
4/13/2014,1572,13022532
4/14/2014,1275,8249894
4/15/2014,1119,7454287
4/16/2014,1135,7698004
4/17/2014,1096,7257055
4/18/2014,1201,9885291
4/19/2014,1143,8814295
4/20/2014,1268,7762732
4/21/2014,1303,7821768
4/22/2014,1252,7390757
4/23/2014,1106,6463858
4/24/2014,1072,8447599
4/25/2014,1001,6386297
4/26/2014,1189,9448533
4/27/2014,1141,8316730
4/28/2014,1144,8575895
4/29/2014,1102,6728361
4/30/2014,1120,7247477
5/1/2014,1223,8785228
5/2/2014,995,6662721
5/3/2014,1151,7648184
5/4/2014,1364,9527138
5/5/2014,1274,9138372
5/6/2014,1161,7186753
5/7/2014,1024,7304135
5/8/2014,947,7314454
5/9/2014,958,5650503
5/10/2014,1080,7820778
5/11/2014,1298,7950321
5/12/2014,1137,7622394
5/13/2014,1128,9177501
5/14/2014,1087,7622232
5/15/2014,1079,7462573
5/16/2014,6732,19972043
5/17/2014,1150,7971072
5/18/2014,1350,8506114
5/19/2014,1313,8137892
5/20/2014,1144,7862115
5/21/2014,1145,7665827
5/22/2014,1158,7513309
5/23/2014,1032,6630568
5/24/2014,1060,7030631
5/25/2014,1298,8517808
5/26/2014,1366,9448989
5/27/2014,1381,8227038
5/28/2014,1219,7098943
5/29/2014,1246,7808179
5/30/2014,1120,8087952
5/31/2014,1231,9364618
6/1/2014,1276,9273517
6/2/2014,1237,9796303
6/3/2014,1095,8889264
6/4/2014,1153,8577424
6/5/2014,1135,8659495
6/6/2014,1091,9101559
6/7/2014,1111,10057796
6/8/2014,1235,10726442
6/9/2014,1241,9024402
6/10/2014,1102,8475476
6/11/2014,1141,7065930
6/12/2014,1100,7633268
6/13/2014,1137,8183671
6/14/2014,1104,8224979
6/15/2014,1273,7526054
6/16/2014,1329,9087554
6/17/2014,1320,9065478
6/18/2014,1364,9761907
6/19/2014,1356,9485713
6/20/2014,1114,8652152
6/21/2014,1300,8056838
6/22/2014,1425,14608607
6/23/2014,1333,9345825
6/24/2014,1278,8943959
6/25/2014,1262,9567049
6/26/2014,1238,7695533
6/27/2014,1209,8741776
6/28/2014,1246,8622349
6/29/2014,1393,8939401
6/30/2014,1327,9277175
7/1/2014,1394,8648098
7/2/2014,1265,9605884
7/3/2014,1349,8773228
7/4/2014,1296,9635327
7/5/2014,1292,8509319
7/6/2014,1393,9191182
7/7/2014,1313,9255805
7/8/2014,1259,8225414
7/9/2014,1285,8830937
7/10/2014,1193,9247374
7/11/2014,1254,9798712
7/12/2014,1246,8854340
7/13/2014,1452,9389333
7/14/2014,1364,9332634
7/15/2014,1330,8476026
7/16/2014,1341,10423066
7/17/2014,1359,9528602
7/18/2014,1270,8246735
7/19/2014,1200,8412100
7/20/2014,1329,8701370
7/21/2014,1401,9495702
7/22/2014,1295,9054651
7/23/2014,1314,9822827
7/24/2014,1275,7888525
7/25/2014,1234,6688194
7/26/2014,1323,9021804
7/27/2014,1243,9416009
7/28/2014,1264,10496347
7/29/2014,1408,11211106
7/30/2014,1184,7363552
7/31/2014,1279,7438137
8/1/2014,1197,10294825
8/2/2014,1132,7663411
8/3/2014,1354,7967666
8/4/2014,1340,9401290
8/5/2014,1315,8956097
8/6/2014,1317,9844416
8/7/2014,1280,10379717
8/8/2014,1077,8062164
8/9/2014,1125,6989013
8/10/2014,1301,9245500
8/11/2014,1263,7515112
8/12/2014,1322,9932593
8/13/2014,1240,8937619
8/14/2014,1151,8065553
8/15/2014,1280,8832320
8/16/2014,1312,7574848
8/17/2014,1351,9541046
8/18/2014,1336,8598453
8/19/2014,1267,10962910
8/20/2014,1190,7991235
8/21/2014,1392,9313313
8/22/2014,1151,8454348
8/23/2014,1124,8763269
8/24/2014,1338,8725794
8/25/2014,1267,8178411
8/26/2014,1296,11001690
8/27/2014,1096,6490671
8/28/2014,1193,8115051
8/29/2014,1114,9003742
8/30/2014,1326,8054471
8/31/2014,1382,9919300
9/1/2014,1648,10828643
9/2/2014,1288,9795621
9/3/2014,1129,7349028
9/4/2014,964,6637082
9/5/2014,1075,8553080
9/6/2014,1097,9093780
9/7/2014,1388,9129923
9/8/2014,1184,8249210
9/9/2014,1093,8666468
