creation_date,number_of_works,total_number_of_words
5/12/2009,5,12138
5/13/2009,4,5659
5/14/2009,13,51477
5/15/2009,29,181010
5/16/2009,17,35098
5/17/2009,32,83459
5/18/2009,2,14029
5/19/2009,5,12772
5/20/2009,12,15534
5/21/2009,21,49224
5/22/2009,27,87436
5/23/2009,15,62812
5/24/2009,27,171164
5/25/2009,4,26532
5/26/2009,3,17372
5/27/2009,3,9609
5/28/2009,11,18488
5/30/2009,4,2325
5/31/2009,5,18700
6/1/2009,27,29216
6/2/2009,8,9006
6/3/2009,2,6200
6/4/2009,6,20549
6/5/2009,6,26020
6/6/2009,28,41181
6/7/2009,2,7159
6/8/2009,4,44153
6/9/2009,1,1066
6/10/2009,12,50826
6/11/2009,1,1113
6/12/2009,1,736
6/13/2009,2,3251
6/14/2009,2,924
6/15/2009,1,6000
6/16/2009,3,9459
6/17/2009,3,5798
6/18/2009,9,73823
6/19/2009,1,655
6/20/2009,4,26293
6/21/2009,6,18870
6/22/2009,4,4438
6/23/2009,2,855
6/24/2009,11,95378
6/25/2009,6,74922
6/26/2009,27,49893
6/28/2009,2,3777
6/29/2009,1,752
6/30/2009,6,30002
7/1/2009,14,30004
7/2/2009,16,26879
7/3/2009,8,28768
7/4/2009,5,3843
7/5/2009,33,64266
7/6/2009,1,762
7/7/2009,1,13145
7/8/2009,5,39269
7/9/2009,3,14312
7/10/2009,8,8304
7/11/2009,31,50885
7/12/2009,46,206091
7/13/2009,8,30610
7/14/2009,28,49218
7/15/2009,19,144914
7/16/2009,16,121216
7/17/2009,6,16761
7/18/2009,10,28502
7/19/2009,24,90239
7/20/2009,8,139076
7/21/2009,20,41138
7/22/2009,11,49376
7/23/2009,18,281803
7/24/2009,18,164563
7/25/2009,12,36049
7/26/2009,6,45425
7/27/2009,5,10915
7/28/2009,8,7570
7/29/2009,2,3602
7/30/2009,3,11364
7/31/2009,3,22276
8/1/2009,5,59761
8/2/2009,5,58456
8/3/2009,3,10109
8/4/2009,20,38996
8/5/2009,16,54287
8/6/2009,3,7573
8/7/2009,26,89789
8/8/2009,37,48328
8/9/2009,47,523577
8/10/2009,8,40635
8/13/2009,2,3306
8/14/2009,1,505
8/15/2009,1,9309
8/16/2009,2,4019
8/17/2009,7,55409
8/19/2009,3,3814
8/20/2009,15,25114
8/21/2009,4,23239
8/22/2009,13,375497
8/23/2009,4,5035
8/24/2009,7,18315
8/25/2009,4,231619
8/27/2009,2,1629
8/28/2009,7,42325
8/29/2009,2,44545
9/1/2009,1,1921
9/2/2009,4,13079
9/3/2009,1,621
9/4/2009,3,11524
9/5/2009,3,17279
9/6/2009,4,24711
9/7/2009,5,29965
9/9/2009,3,24745
9/10/2009,7,22896
9/12/2009,3,58300
9/13/2009,8,36926
9/14/2009,10,69460
9/15/2009,11,75712
9/16/2009,9,34962
9/18/2009,12,122720
9/19/2009,47,69765
9/20/2009,4,18601
9/21/2009,3,77226
9/22/2009,9,22944
9/23/2009,18,194048
9/24/2009,10,27275
9/25/2009,28,65022
9/26/2009,38,94027
9/27/2009,2,2061
9/28/2009,26,176747
9/29/2009,13,24147
9/30/2009,3,2487
10/1/2009,4,6281
10/2/2009,11,13522
10/3/2009,6,5483
10/4/2009,1,5198
10/5/2009,20,51214
10/6/2009,42,100454
10/7/2009,15,53029
10/8/2009,14,13639
10/9/2009,3,24274
10/10/2009,3,66361
10/11/2009,11,22530
10/12/2009,3,22358
10/13/2009,1,1841
10/14/2009,3,1939
10/16/2009,21,42331
10/17/2009,31,44167
10/18/2009,35,102502
10/19/2009,19,85980
10/20/2009,15,30277
10/21/2009,51,111485
10/22/2009,12,50370
10/23/2009,19,115916
10/24/2009,3,5156
10/25/2009,9,51465
10/26/2009,4,64183
10/27/2009,7,65831
10/28/2009,22,13137
10/29/2009,9,16014
10/30/2009,22,32910
10/31/2009,31,36872
11/1/2009,28,98222
11/2/2009,20,13820
11/3/2009,3,25987
11/4/2009,1,11722
11/5/2009,9,1963
11/6/2009,4,7398
11/7/2009,10,6532
11/8/2009,8,20602
11/9/2009,20,123677
11/10/2009,18,128114
11/11/2009,1,111
11/12/2009,9,15106
11/13/2009,804,3103770
11/14/2009,1550,6354854
11/15/2009,2128,8003988
11/16/2009,1331,4165502
11/17/2009,1070,4064997
11/18/2009,956,3381854
11/19/2009,744,2203337
11/20/2009,493,1589707
11/21/2009,804,3645946
11/22/2009,549,2591682
11/23/2009,534,1795767
11/24/2009,507,1696706
11/25/2009,529,2274851
11/26/2009,595,2357008
11/27/2009,650,2549442
11/28/2009,630,2211731
11/29/2009,497,2208264
11/30/2009,379,1354504
12/1/2009,485,1282951
12/2/2009,327,1072519
12/3/2009,296,826798
12/4/2009,229,882427
12/5/2009,317,1135840
12/6/2009,366,1341632
12/7/2009,325,844094
12/8/2009,225,916065
12/9/2009,294,1247484
12/10/2009,299,1516337
12/11/2009,204,1618127
12/12/2009,218,1863018
12/13/2009,319,1101864
12/14/2009,230,845025
12/15/2009,364,1148230
12/16/2009,192,621805
12/17/2009,185,727820
12/18/2009,937,3535255
12/19/2009,715,2653181
12/20/2009,943,3763832
12/21/2009,1779,5702987
12/22/2009,750,1854791
12/23/2009,908,2646306
12/24/2009,1232,2266227
12/25/2009,200,452636
12/26/2009,333,2152107
12/27/2009,646,2287928
12/28/2009,691,1919452
12/29/2009,518,2635814
12/30/2009,457,1500002
12/31/2009,413,1731018
1/1/2010,705,2160487
1/2/2010,674,2164895
1/3/2010,570,1670424
1/4/2010,543,1519087
1/5/2010,632,2357306
1/6/2010,539,2212431
1/7/2010,471,1596301
1/8/2010,472,1879812
1/9/2010,591,2691848
1/10/2010,697,1925680
1/11/2010,570,1927331
1/12/2010,393,1763524
1/13/2010,274,1214951
1/14/2010,388,1443481
1/15/2010,372,1255161
1/16/2010,341,968300
1/17/2010,491,1607123
