creation_date,number_of_works,total_number_of_words
8/1/2016,2070,16347246
8/2/2016,1956,14920736
8/3/2016,1926,14089826
8/4/2016,1819,12978618
8/5/2016,1946,14924019
8/6/2016,1863,14289140
8/7/2016,2019,17463005
8/8/2016,2028,17133264
8/9/2016,1933,16462042
8/10/2016,1952,16600924
8/11/2016,1837,16783223
8/12/2016,1776,13919448
8/13/2016,1776,13453508
8/14/2016,1973,16222066
8/15/2016,1931,14597591
8/16/2016,1933,14503313
8/17/2016,1812,13907436
8/18/2016,1707,13253281
8/19/2016,1719,13546395
8/20/2016,1693,12371745
8/21/2016,2063,16065819
8/22/2016,2001,13672791
8/23/2016,1849,13434600
8/24/2016,1782,13483720
8/25/2016,2112,17483877
8/26/2016,1990,16378395
8/27/2016,1949,16908330
8/28/2016,2276,22507200
8/29/2016,1946,14855609
8/30/2016,1717,13650246
8/31/2016,1766,15269601
9/1/2016,1789,13805990
9/2/2016,1726,13769204
9/3/2016,1612,15365139
9/4/2016,1985,16724598
9/5/2016,1981,14781170
9/6/2016,1697,16608094
9/7/2016,1511,10222650
9/8/2016,1533,13132458
9/9/2016,1488,12590243
9/10/2016,1736,15110110
9/11/2016,2127,17079782
9/12/2016,1794,14495555
9/13/2016,1563,12413687
9/14/2016,1560,11536061
9/15/2016,1515,11119687
9/16/2016,1467,11600230
9/17/2016,1620,11487652
9/18/2016,2917,17864757
9/19/2016,3020,19792073
9/20/2016,3427,23902868
9/21/2016,1626,13830527
9/22/2016,1610,11029090
9/23/2016,1502,11352838
9/24/2016,1668,12979691
9/25/2016,1862,14366687
9/26/2016,1776,14226693
9/27/2016,1599,13958145
9/28/2016,1547,11806994
9/29/2016,1552,11734082
9/30/2016,1610,11941439
10/1/2016,1905,17579269
10/2/2016,2586,21714763
10/3/2016,2345,15734924
10/4/2016,2565,21583379
10/5/2016,2114,17151065
10/6/2016,1466,11217745
10/7/2016,1570,12469672
10/8/2016,1583,12160042
10/9/2016,1809,13643042
10/10/2016,1729,11995808
10/11/2016,1626,11764200
10/12/2016,1535,11870984
10/13/2016,1435,10962691
10/14/2016,1452,11028530
10/15/2016,1663,12237824
10/16/2016,2025,13730277
10/17/2016,2041,15695159
10/18/2016,1875,13722422
10/19/2016,1683,13297562
10/20/2016,1675,12689101
10/21/2016,1693,12563845
10/22/2016,1868,13620497
10/23/2016,2175,15933702
10/24/2016,1911,14552032
10/25/2016,1770,12974112
10/26/2016,1865,13193339
10/27/2016,1648,9722132
10/28/2016,1620,13247182
10/29/2016,1831,13055954
10/30/2016,2021,13995707
10/31/2016,2382,17045215
11/1/2016,2085,15160147
11/2/2016,1799,11858689
11/3/2016,1687,12520978
11/4/2016,1558,14050016
11/5/2016,1698,14243811
11/6/2016,2058,16317816
11/7/2016,1998,16742816
11/8/2016,1606,11849912
11/9/2016,1318,10016729
11/10/2016,1523,11803094
11/11/2016,1652,11005237
11/12/2016,1736,13210424
11/13/2016,2002,13843121
11/14/2016,1951,15450684
11/15/2016,1679,11688321
11/16/2016,1526,10952273
11/17/2016,1496,10727428
11/18/2016,1520,11646763
11/19/2016,1693,13404186
11/20/2016,2040,15358779
11/21/2016,1777,12451292
11/22/2016,1689,12890346
11/23/2016,1612,12075361
11/24/2016,1520,11901227
11/25/2016,1619,11071170
11/26/2016,1779,13107971
11/27/2016,2038,18214042
11/28/2016,1936,13674983
11/29/2016,1933,14660376
11/30/2016,2991,22185571
12/1/2016,2301,17703415
12/2/2016,2047,15944812
12/3/2016,2050,15101799
12/4/2016,2427,16308863
12/5/2016,2025,13363131
12/6/2016,2102,15833908
12/7/2016,1792,15251413
12/8/2016,1833,12537782
12/9/2016,1860,13367086
12/10/2016,1887,14880494
12/11/2016,2219,15045223
12/12/2016,2168,14271125
12/13/2016,1927,14078148
12/14/2016,1875,12946248
12/15/2016,1905,12890507
12/16/2016,2021,13722283
12/17/2016,2473,16629075
12/18/2016,2965,18170451
12/19/2016,2380,16951953
12/20/2016,2432,16814987
12/21/2016,2359,15656697
12/22/2016,2312,14437356
12/23/2016,2559,15511424
12/24/2016,3242,17968391
12/25/2016,3206,18502850
12/26/2016,2622,16690472
12/27/2016,2355,15586835
12/28/2016,2368,16343601
12/29/2016,2540,17295188
12/30/2016,2368,18736233
12/31/2016,2602,18644321
1/1/2017,2492,21407624
1/2/2017,2698,18270810
1/3/2017,2294,17074086
1/4/2017,2263,15086889
1/5/2017,2142,18319496
1/6/2017,2063,15936756
1/7/2017,2173,14869765
1/8/2017,2409,17770683
1/9/2017,2196,17315896
1/10/2017,2022,16021494
1/11/2017,1960,14699784
1/12/2017,1884,16936909
1/13/2017,1946,16823085
1/14/2017,1855,16140575
1/15/2017,2309,17837021
1/16/2017,2353,18614104
1/17/2017,2109,16556824
1/18/2017,1862,14687480
1/19/2017,1803,13892176
1/20/2017,1784,15450345
1/21/2017,1986,17324447
1/22/2017,2133,18371698
1/23/2017,2123,16524392
1/24/2017,1889,13237314
1/25/2017,1822,14781404
1/26/2017,1759,12098153
1/27/2017,1822,14672057
1/28/2017,1888,14205671
1/29/2017,2316,16947500
1/30/2017,2118,17520323
1/31/2017,1985,15969782
2/1/2017,2008,14133064
2/2/2017,1942,16055695
2/3/2017,1796,14878671
2/4/2017,1971,14934878
2/5/2017,2224,17324938
2/6/2017,2226,17802214
2/7/2017,2029,15202945
2/8/2017,2054,14877912
2/9/2017,1905,13025187
2/10/2017,1955,15415666
2/11/2017,2181,17285487
2/12/2017,2494,18646137
2/13/2017,2546,18462952
2/14/2017,3146,20539988
2/15/2017,2477,16820092
2/16/2017,2270,16516559
2/17/2017,1956,14208567
2/18/2017,2070,14783051
2/19/2017,2282,19924567
2/20/2017,2183,16710909
2/21/2017,2147,15923046
2/22/2017,2077,17362642
2/23/2017,2306,18932171
2/24/2017,1867,15198900
2/25/2017,1880,14718475
2/26/2017,2037,16632283
2/27/2017,2066,17098571
2/28/2017,2296,18328411
3/1/2017,2466,17098163
3/2/2017,2254,20029332
3/3/2017,2528,22564679
3/4/2017,2174,20052508
3/5/2017,2530,24361428
3/6/2017,2565,22095573
3/7/2017,2414,21051970
3/8/2017,2207,20837058
3/9/2017,1835,15831053
3/10/2017,1837,16679820
3/11/2017,1975,15058170
3/12/2017,2101,16325308
3/13/2017,1979,15495714
3/14/2017,2043,16241970
3/15/2017,1958,14515713
3/16/2017,1684,12987484
3/17/2017,2016,15127704
3/18/2017,2735,23145479
3/19/2017,2429,19647758
3/20/2017,2054,15546941
3/21/2017,1947,13224405
3/22/2017,1734,13669969
3/23/2017,1683,12713689
3/24/2017,1769,11977642
3/25/2017,2021,16039583
3/26/2017,2252,18542031
3/27/2017,2009,14525929
3/28/2017,2042,16111959
3/29/2017,1669,13632866
3/30/2017,1740,13331879
3/31/2017,1745,14725618
4/1/2017,1856,14942228
4/2/2017,2050,16590487
4/3/2017,2053,16819492
4/4/2017,1912,15264988
4/5/2017,1902,13643688
4/6/2017,2031,14778972
4/7/2017,1984,15919526
4/8/2017,2166,13648086
4/9/2017,2301,17214745
4/10/2017,2212,14964624
4/11/2017,2008,17709749
4/12/2017,1934,15046853
4/13/2017,1962,14020883
4/14/2017,2054,16648760
4/15/2017,2138,14930067
4/16/2017,2392,17571348
4/17/2017,2406,18673147
4/18/2017,1982,15965080
4/19/2017,2020,16389570
4/20/2017,1926,15114571
4/21/2017,2022,19354001
4/22/2017,2231,14919442
4/23/2017,2291,15195609
4/24/2017,2104,16607693
