2008-09-13,18,119741
2008-09-14,3,37148
2008-09-15,12,20489
2008-09-16,77,246028
2008-09-17,166,570137
2008-09-18,115,573099
2008-09-19,124,427973
2008-09-20,74,230701
2008-09-21,66,422310
2008-09-22,32,101344
2008-09-23,8,30099
2008-09-24,118,485151
2008-09-25,8,71132
2008-09-26,29,178078
2008-09-27,4,6429
2008-09-28,44,167344
2008-09-29,15,41130
2008-09-30,15,72858
2008-10-01,23,103506
2008-10-02,41,175209
2008-10-03,93,657107
2008-10-04,16,26459
2008-10-05,22,162798
2008-10-06,9,83542
2008-10-07,12,64039
2008-10-08,11,31123
2008-10-09,20,189030
2008-10-10,7,33953
2008-10-11,4,15780
2008-10-12,1,46400
2008-10-13,23,34118
2008-10-14,1,1968
2008-10-15,3,3683
2008-10-16,11,33747
2008-10-17,11,8338
2008-10-18,19,80425
2008-10-19,5,7705
2008-10-20,5,23993
2008-10-21,11,49241
2008-10-22,1,215
2008-10-23,2,722
2008-10-24,4,59796
2008-10-25,53,111654
2008-10-26,19,127373
2008-10-27,14,98264
2008-10-28,15,42983
2008-10-29,12,45112
2008-10-30,10,22608
2008-10-31,3,15715
2008-11-01,17,66024
2008-11-02,14,34589
2008-11-03,8,25697
2008-11-04,25,36679
2008-11-05,16,24855
2008-11-06,2,129042
2008-11-07,10,27010
2008-11-08,9,5478
2008-11-09,9,15968
2008-11-10,8,73406
2008-11-11,29,113741
2008-11-12,14,81901
2008-11-13,8,14058
2008-11-14,38,118634
2008-11-15,35,83132
2008-11-16,12,92078
2008-11-17,4,27690
2008-11-18,16,128058
2008-11-19,3,9273
2008-11-20,10,271838
2008-11-21,6,14956
2008-11-22,7,26003
2008-11-23,5,4469
2008-11-24,2,8200
2008-11-25,7,14746
2008-11-26,2,1889
2008-11-27,8,7893
2008-11-29,4,22731
2008-11-30,9,31280
2008-12-02,7,7353
2008-12-04,25,121252
2008-12-05,7,7399
2008-12-06,9,97992
2008-12-07,4,8829
2008-12-08,2,1420
2008-12-09,11,27401
2008-12-10,15,80441
2008-12-11,7,19757
2008-12-12,7,18570
2008-12-13,10,17720
2008-12-14,6,13691
2008-12-15,17,26646
2008-12-16,9,43933
2008-12-17,9,8232
2008-12-20,1,799
2008-12-21,3,11630
2008-12-22,1,1856
2008-12-23,6,13269
2008-12-24,5,26441
2008-12-25,1,1572
2008-12-27,6,31445
2008-12-28,31,78116
2008-12-29,35,73061
2008-12-30,4,7856
2008-12-31,1,432
2009-01-01,20,75484
2009-01-02,27,124348
2009-01-03,22,142927
2009-01-04,19,70525
2009-01-05,5,22078
2009-01-06,27,46047
2009-01-07,13,16262
2009-01-08,21,51447
2009-01-09,22,31147
2009-01-10,20,107818
2009-01-11,7,17187
2009-01-12,36,105485
2009-01-13,12,58188
2009-01-14,10,9678
2009-01-15,7,113155
2009-01-16,12,41814
2009-01-17,22,125914
2009-01-18,20,145220
2009-01-19,9,27398
2009-01-20,1,2735
2009-01-21,3,13032
2009-01-22,3,7572
2009-01-23,3,4606
2009-01-24,1,19909
2009-01-25,4,62317
2009-01-26,6,39380
2009-01-27,6,35492
2009-01-28,27,27082
2009-01-29,8,12659
2009-01-30,39,52200
2009-01-31,76,303308
2009-02-01,19,30785
2009-02-02,11,76085
2009-02-03,1,2648
2009-02-04,9,18135
2009-02-05,1,7474
2009-02-06,15,33415
2009-02-07,19,25968
2009-02-08,5,14409
2009-02-09,2,1977
2009-02-10,1,2482
2009-02-12,2,7871
2009-02-13,18,31794
2009-02-14,16,209835
2009-02-15,8,105224
2009-02-16,4,60813
2009-02-17,12,95536
2009-02-18,2,8982
2009-02-19,1,2722
2009-02-20,3,3550
2009-02-21,38,96489
2009-02-22,9,198093
2009-02-23,6,15067
2009-02-24,12,44431
2009-02-25,18,19167
2009-02-26,5,4748
2009-02-27,20,60239
2009-02-28,74,133099
2009-03-01,21,70640
2009-03-02,6,13347
2009-03-03,5,41515
2009-03-04,12,88139
2009-03-05,28,236241
2009-03-06,8,26983
2009-03-07,6,4085
2009-03-08,14,58378
2009-03-09,6,14153
2009-03-10,1,1416
2009-03-11,12,53577
2009-03-12,15,100527
2009-03-13,15,15883
2009-03-14,3,2417
2009-03-15,36,122623
2009-03-16,37,185277
2009-03-17,8,11475
2009-03-18,26,68089
2009-03-19,5,30032
2009-03-20,8,15601
2009-03-21,4,3583
2009-03-22,3,17435
2009-03-23,4,4900
2009-03-24,6,5959
2009-03-25,17,19547
2009-03-26,3,2805
2009-03-27,9,19415
2009-03-28,10,25198
2009-03-29,11,38918
2009-04-01,10,37483
2009-04-02,7,11747
2009-04-03,22,25734
2009-04-04,59,199361
2009-04-05,22,46908
2009-04-06,23,48074
2009-04-07,36,108706
2009-04-08,23,75996
2009-04-09,35,107011
2009-04-10,39,119000
2009-04-11,16,77329
2009-04-12,32,127370
2009-04-13,53,138473
2009-04-14,26,48839
2009-04-15,28,74581
2009-04-16,9,43004
2009-04-17,21,126207
2009-04-18,10,40189
2009-04-19,32,77609
2009-04-20,31,91970
2009-04-21,17,101224
2009-04-22,14,31780
2009-04-23,22,78279
2009-04-24,16,86586
2009-04-25,13,127548
